# cell_number,T2_degC,LON,LAT
8.200000000000000000e+01,2.861903991699218750e+02,-1.543447875976562500e+01,2.794882202148437500e+01
8.300000000000000000e+01,2.864551391601562500e+02,-1.543218994140625000e+01,2.794879913330078125e+01
8.400000000000000000e+01,2.866426086425781250e+02,-1.542990112304687500e+01,2.794876480102539062e+01
8.500000000000000000e+01,2.868344421386718750e+02,-1.542761230468750000e+01,2.794873809814453125e+01
8.600000000000000000e+01,2.870359191894531250e+02,-1.542535400390625000e+01,2.794871902465820312e+01
8.700000000000000000e+01,2.870761413574218750e+02,-1.542306518554687500e+01,2.794869613647460938e+01
8.800000000000000000e+01,2.872339477539062500e+02,-1.542077636718750000e+01,2.794866943359375000e+01
8.900000000000000000e+01,2.873760681152343750e+02,-1.541851806640625000e+01,2.794864273071289062e+01
9.000000000000000000e+01,2.875042724609375000e+02,-1.541622924804687500e+01,2.794861602783203125e+01
9.100000000000000000e+01,2.876101684570312500e+02,-1.541394042968750000e+01,2.794858169555664062e+01
9.200000000000000000e+01,2.877181091308593750e+02,-1.541165161132812500e+01,2.794855499267578125e+01
9.300000000000000000e+01,2.878168334960937500e+02,-1.540939331054687500e+01,2.794852828979492188e+01
9.400000000000000000e+01,2.879090270996093750e+02,-1.540710449218750000e+01,2.794850158691406250e+01
9.500000000000000000e+01,2.879941711425781250e+02,-1.540481567382812500e+01,2.794847869873046875e+01
9.600000000000000000e+01,2.880802612304687500e+02,-1.540252685546875000e+01,2.794845962524414062e+01
9.700000000000000000e+01,2.881462707519531250e+02,-1.540026855468750000e+01,2.794841766357421875e+01
9.800000000000000000e+01,2.882036437988281250e+02,-1.539797973632812500e+01,2.794839096069335938e+01
9.900000000000000000e+01,2.882503662109375000e+02,-1.539569091796875000e+01,2.794837570190429688e+01
1.000000000000000000e+02,2.882946166992187500e+02,-1.539343261718750000e+01,2.794834136962890625e+01
1.010000000000000000e+02,2.794256591796875000e+02,-1.561917114257812500e+01,2.795286560058593750e+01
1.020000000000000000e+02,2.793118286132812500e+02,-1.561688232421875000e+01,2.795283508300781250e+01
1.030000000000000000e+02,2.791591186523437500e+02,-1.561459350585937500e+01,2.795281600952148438e+01
1.040000000000000000e+02,2.789476013183593750e+02,-1.561233520507812500e+01,2.795279693603515625e+01
1.050000000000000000e+02,2.786866149902343750e+02,-1.561004638671875000e+01,2.795276260375976562e+01
1.060000000000000000e+02,2.783348083496093750e+02,-1.560775756835937500e+01,2.795273590087890625e+01
1.070000000000000000e+02,2.780341491699218750e+02,-1.560546875000000000e+01,2.795272827148437500e+01
1.080000000000000000e+02,2.777366333007812500e+02,-1.560321044921875000e+01,2.795269393920898438e+01
1.090000000000000000e+02,2.774565124511718750e+02,-1.560092163085937500e+01,2.795267868041992188e+01
1.100000000000000000e+02,2.772471618652343750e+02,-1.559863281250000000e+01,2.795265197753906250e+01
1.110000000000000000e+02,2.769974365234375000e+02,-1.559637451171875000e+01,2.795262527465820312e+01
1.120000000000000000e+02,2.768545532226562500e+02,-1.559408569335937500e+01,2.795260620117187500e+01
1.130000000000000000e+02,2.767853393554687500e+02,-1.559179687500000000e+01,2.795257568359375000e+01
1.140000000000000000e+02,2.768017272949218750e+02,-1.558950805664062500e+01,2.795257186889648438e+01
1.150000000000000000e+02,2.768705444335937500e+02,-1.558724975585937500e+01,2.795252227783203125e+01
1.160000000000000000e+02,2.770473632812500000e+02,-1.558496093750000000e+01,2.795251464843750000e+01
1.170000000000000000e+02,2.773135986328125000e+02,-1.558267211914062500e+01,2.795248794555664062e+01
1.180000000000000000e+02,2.775436096191406250e+02,-1.558038330078125000e+01,2.795246124267578125e+01
1.190000000000000000e+02,2.778099060058593750e+02,-1.557812500000000000e+01,2.795242691040039062e+01
1.200000000000000000e+02,2.780801086425781250e+02,-1.557583618164062500e+01,2.795241165161132812e+01
1.210000000000000000e+02,2.783073120117187500e+02,-1.557354736328125000e+01,2.795238494873046875e+01
1.220000000000000000e+02,2.784593505859375000e+02,-1.557128906250000000e+01,2.795236587524414062e+01
1.230000000000000000e+02,2.784869079589843750e+02,-1.556900024414062500e+01,2.795233917236328125e+01
1.240000000000000000e+02,2.784206542968750000e+02,-1.556671142578125000e+01,2.795231628417968750e+01
1.250000000000000000e+02,2.783982238769531250e+02,-1.556442260742187500e+01,2.795228958129882812e+01
1.260000000000000000e+02,2.783522033691406250e+02,-1.556216430664062500e+01,2.795226287841796875e+01
1.270000000000000000e+02,2.782065124511718750e+02,-1.555987548828125000e+01,2.795225143432617188e+01
1.280000000000000000e+02,2.780033264160156250e+02,-1.555758666992187500e+01,2.795221710205078125e+01
1.290000000000000000e+02,2.778006286621093750e+02,-1.555529785156250000e+01,2.795220184326171875e+01
1.300000000000000000e+02,2.776076049804687500e+02,-1.555303955078125000e+01,2.795217514038085938e+01
1.310000000000000000e+02,2.773470153808593750e+02,-1.555075073242187500e+01,2.795214843750000000e+01
1.320000000000000000e+02,2.772534790039062500e+02,-1.554846191406250000e+01,2.795212554931640625e+01
1.330000000000000000e+02,2.772046813964843750e+02,-1.554617309570312500e+01,2.795209884643554688e+01
1.340000000000000000e+02,2.772078552246093750e+02,-1.554391479492187500e+01,2.795205688476562500e+01
1.350000000000000000e+02,2.772749023437500000e+02,-1.554162597656250000e+01,2.795204544067382812e+01
1.360000000000000000e+02,2.774788818359375000e+02,-1.553933715820312500e+01,2.795202255249023438e+01
1.370000000000000000e+02,2.776449279785156250e+02,-1.553707885742187500e+01,2.795198440551757812e+01
1.380000000000000000e+02,2.778271484375000000e+02,-1.553479003906250000e+01,2.795196151733398438e+01
1.390000000000000000e+02,2.780261535644531250e+02,-1.553250122070312500e+01,2.795195007324218750e+01
1.400000000000000000e+02,2.782568054199218750e+02,-1.553021240234375000e+01,2.795192337036132812e+01
1.410000000000000000e+02,2.784781188964843750e+02,-1.552795410156250000e+01,2.795189285278320312e+01
1.420000000000000000e+02,2.786965637207031250e+02,-1.552566528320312500e+01,2.795187377929687500e+01
1.430000000000000000e+02,2.789019165039062500e+02,-1.552337646484375000e+01,2.795185470581054688e+01
1.440000000000000000e+02,2.790967407226562500e+02,-1.552108764648437500e+01,2.795182037353515625e+01
1.450000000000000000e+02,2.792899169921875000e+02,-1.551882934570312500e+01,2.795179367065429688e+01
1.460000000000000000e+02,2.793917236328125000e+02,-1.551654052734375000e+01,2.795177078247070312e+01
1.470000000000000000e+02,2.795924377441406250e+02,-1.551425170898437500e+01,2.795175170898437500e+01
1.480000000000000000e+02,2.798101501464843750e+02,-1.551196289062500000e+01,2.795172500610351562e+01
1.490000000000000000e+02,2.800342102050781250e+02,-1.550970458984375000e+01,2.795169448852539062e+01
1.500000000000000000e+02,2.802742919921875000e+02,-1.550741577148437500e+01,2.795166397094726562e+01
1.510000000000000000e+02,2.805408935546875000e+02,-1.550512695312500000e+01,2.795164108276367188e+01
1.520000000000000000e+02,2.807992248535156250e+02,-1.550286865234375000e+01,2.795161437988281250e+01
1.530000000000000000e+02,2.810582275390625000e+02,-1.550057983398437500e+01,2.795158004760742188e+01
1.540000000000000000e+02,2.813151855468750000e+02,-1.549829101562500000e+01,2.795156097412109375e+01
1.550000000000000000e+02,2.815659790039062500e+02,-1.549600219726562500e+01,2.795154571533203125e+01
1.560000000000000000e+02,2.818124084472656250e+02,-1.549374389648437500e+01,2.795151138305664062e+01
1.570000000000000000e+02,2.820412292480468750e+02,-1.549145507812500000e+01,2.795147705078125000e+01
1.580000000000000000e+02,2.822542114257812500e+02,-1.548916625976562500e+01,2.795145797729492188e+01
1.590000000000000000e+02,2.824558105468750000e+02,-1.548687744140625000e+01,2.795143508911132812e+01
1.600000000000000000e+02,2.826479492187500000e+02,-1.548461914062500000e+01,2.795142364501953125e+01
1.610000000000000000e+02,2.828205261230468750e+02,-1.548233032226562500e+01,2.795138168334960938e+01
1.620000000000000000e+02,2.829931335449218750e+02,-1.548004150390625000e+01,2.795135498046875000e+01
1.630000000000000000e+02,2.831619567871093750e+02,-1.547778320312500000e+01,2.795132827758789062e+01
